Iter	HR	R.cor
1	50	-0.0185699860112709
1	90	-0.060885543766034
2	50	-0.0868305260748025
2	90	-0.128921414287127
3	50	-0.118982975469196
3	90	-0.156271958258675
4	50	-0.2356627054354
4	90	-0.285540487132426
5	50	-0.151046492077383
5	90	-0.179364721832211
6	50	-0.161631576322772
6	90	-0.157196793871446
7	50	-0.08483541035543
7	90	-0.15988760512787
8	50	-0.155181171186311
8	90	-0.188492197567471
9	50	-0.0432245229202712
9	90	-0.155982822430413
10	50	-0.156915696591905
10	90	-0.196057341108331
11	50	-0.189403598529483
11	90	-0.209787964111527
12	50	-0.11049202693154
12	90	-0.155777044266067
13	50	-0.08962696114835
13	90	-0.135571618719825
14	50	-0.0920784652260889
14	90	-0.14301481101838
15	50	-0.105345552764817
15	90	-0.139444788472586
16	50	-0.207394195211855
16	90	-0.195791726132448
17	50	-0.0435956973430721
17	90	-0.114042843579943
18	50	-0.074738445969176
18	90	-0.14769275367014
19	50	-0.153313702557775
19	90	-0.216401235008514
20	50	-0.125497858639815
20	90	-0.181655650577828
21	50	-0.14512379894924
21	90	-0.209101270297112
22	50	-0.160472375610196
22	90	-0.190273591556582
23	50	-0.143375281658905
23	90	-0.141516007349014
24	50	-0.129198678717798
24	90	-0.176167674835545
25	50	-0.158833617061558
25	90	-0.223748616976844
26	50	-0.165951641421993
26	90	-0.166576934302351
27	50	-0.157677845501966
27	90	-0.208895050748021
28	50	-0.181731391632522
28	90	-0.207491463512783
29	50	-0.179356584088903
29	90	-0.158144054842271
30	50	-0.0957014596596016
30	90	-0.146814113867572
31	50	-0.120200260315448
31	90	-0.138438099584962
32	50	-0.145536406466894
32	90	-0.215553594987843
33	50	-0.0992608495187828
33	90	-0.159782526824199
34	50	-0.100620637100668
34	90	-0.147810077749154
35	50	-0.14748058590358
35	90	-0.186927921889669
36	50	-0.121725550037333
36	90	-0.175321818697625
37	50	-0.107506214739658
37	90	-0.173934438544528
38	50	-0.092583094028545
38	90	-0.174085251879959
39	50	-0.157105190073612
39	90	-0.200979731870384
40	50	-0.163413295453457
40	90	-0.164735461935518
41	50	-0.104891491922223
41	90	-0.177408923486658
42	50	-0.110018164592714
42	90	-0.158696598025579
43	50	-0.0560395214214504
43	90	-0.138166844818362
44	50	-0.124566399083625
44	90	-0.16479955151274
45	50	-0.0773020514961302
45	90	-0.153859905590558
46	50	-0.157630863514654
46	90	-0.218737399029604
47	50	-0.0293778054310291
47	90	-0.143435175403345
48	50	-0.172061018538128
48	90	-0.187785374858811
49	50	-0.113852659096456
49	90	-0.150505497319639
50	50	-0.109097901383182
50	90	-0.175516051947198
51	50	-0.212524377336714
51	90	-0.238032188798024
52	50	-0.0709804069975343
52	90	-0.140864478730248
53	50	-0.111431415633935
53	90	-0.195035922497319
54	50	-0.200640993284454
54	90	-0.193282442776862
55	50	-0.0833813461656995
55	90	-0.139759495375769
56	50	-0.146383623433979
56	90	-0.195205692175538
57	50	-0.172204141719238
57	90	-0.172026946340604
58	50	-0.0912041235471824
58	90	-0.176327944907479
59	50	-0.138558937747858
59	90	-0.161526828840407
60	50	-0.109207672755956
60	90	-0.172676610010869
61	50	-0.167657304045631
61	90	-0.236733740201219
62	50	-0.159283602897539
62	90	-0.167192266869066
63	50	-0.160724932973813
63	90	-0.16837441948761
64	50	-0.107648965430381
64	90	-0.148335897941953
65	50	-0.0719593944670639
65	90	-0.124295733420825
66	50	-0.0803472279486614
66	90	-0.136898137660126
67	50	-0.149319059022741
67	90	-0.185298102290783
68	50	-0.147706535004174
68	90	-0.216604063170259
69	50	-0.132127374237926
69	90	-0.19033690507123
70	50	-0.0443890490177294
70	90	-0.12384166658625
71	50	-0.162799791550686
71	90	-0.169134119277011
72	50	-0.160522863856467
72	90	-0.19405097146959
73	50	-0.0876080497324718
73	90	-0.136983006276313
74	50	-0.134729117502013
74	90	-0.151381220369728
75	50	-0.0865842828294437
75	90	-0.15029512139717
76	50	-0.0966741907765968
76	90	-0.182764810274033
77	50	-0.168545363988941
77	90	-0.178862817100385
78	50	-0.134801255737693
78	90	-0.227979305798457
79	50	-0.118083058078772
79	90	-0.165475424510837
80	50	-0.14304998399457
80	90	-0.159033904189421
81	50	-0.14107403630347
81	90	-0.159295513850385
82	50	-0.144492184854633
82	90	-0.205842312849647
83	50	-0.0807248850138213
83	90	-0.174855534662708
84	50	-0.0807330654122107
84	90	-0.156362696697333
85	50	-0.113776791176041
85	90	-0.173944126243036
86	50	-0.108015883659006
86	90	-0.163691262582205
87	50	-0.128165181316847
87	90	-0.206022860493506
88	50	-0.15523535867331
88	90	-0.23379854533296
89	50	-0.145256564674898
89	90	-0.180170158377105
90	50	-0.124166441340158
90	90	-0.15972324424
91	50	-0.00708121531869688
91	90	-0.130399012975092
92	50	-0.201780745354742
92	90	-0.221113819979978
93	50	-0.0902654573849053
93	90	-0.134604942927721
94	50	-0.135097720960272
94	90	-0.191418923150321
95	50	-0.178386962590362
95	90	-0.181847515653709
96	50	-0.170041199964668
96	90	-0.188353116694937
97	50	-0.102638288274533
97	90	-0.123089780866213
98	50	-0.160025338499926
98	90	-0.164126432651736
99	50	-0.143632878730548
99	90	-0.175335408014365
100	50	-0.160760185411049
100	90	-0.22697091370385
101	50	-0.253190873705683
101	90	-0.277441487033442
102	50	-0.177327381455249
102	90	-0.222626867659254
103	50	-0.176240630527575
103	90	-0.167409904728658
104	50	-0.00641181689755003
104	90	-0.0799544603243616
105	50	-0.0915823471214245
105	90	-0.118448661057518
106	50	-0.168520589395715
106	90	-0.186497247196785
107	50	-0.147097295954945
107	90	-0.202909022907808
108	50	-0.0657420016617869
108	90	-0.112489376516471
109	50	-0.0920770097686208
109	90	-0.159740434495468
110	50	-0.160382956782535
110	90	-0.175683740718299
111	50	-0.134980805062738
111	90	-0.168280692304414
112	50	-0.0831104570862198
112	90	-0.133967894534392
113	50	-0.121392121410416
113	90	-0.132379455559238
114	50	-0.131328294871556
114	90	-0.162662754675573
115	50	-0.137010585986053
115	90	-0.15713833693126
116	50	-0.140818823327773
116	90	-0.146897794819599
117	50	-0.161902024929649
117	90	-0.173166939844759
118	50	-0.0969251422776386
118	90	-0.173857605942626
119	50	-0.151394686770481
119	90	-0.186443819732562
120	50	-0.138715005837287
120	90	-0.177981747331116
121	50	-0.169084098162293
121	90	-0.229635334674104
122	50	-0.0920072206188341
122	90	-0.157608883227801
123	50	-0.0870110258854058
123	90	-0.124996301693538
124	50	-0.100038216974338
124	90	-0.177184600576654
125	50	-0.0811424849103504
125	90	-0.140503088027568
126	50	-0.236227263256438
126	90	-0.226554302296543
127	50	-0.199564110713894
127	90	-0.241862984769342
128	50	-0.161744994014341
128	90	-0.194971114870401
129	50	-0.188648841374465
129	90	-0.219796600858922
130	50	-0.130176511516549
130	90	-0.170013007175125
131	50	-0.141326140046946
131	90	-0.206575669899062
132	50	-0.143573546502657
132	90	-0.147159118351748
133	50	-0.120719808066831
133	90	-0.170761591408475
134	50	-0.0987110589513765
134	90	-0.163819791003977
135	50	-0.127019415421161
135	90	-0.151688170339188
136	50	-0.138894841398366
136	90	-0.202960335311511
137	50	-0.117128054035411
137	90	-0.170292513937876
138	50	-0.0713238126368148
138	90	-0.145355811139779
139	50	-0.0535067343989602
139	90	-0.0779362631676405
140	50	-0.0546370655606098
140	90	-0.15168042442331
141	50	-0.115309294535336
141	90	-0.154541052437312
142	50	-0.138312106468415
142	90	-0.171908959718263
143	50	-0.155296180772269
143	90	-0.192599571992279
144	50	-0.051602451147552
144	90	-0.131834536970098
145	50	-0.0918974757633153
145	90	-0.130744940358254
146	50	-0.0313367003274587
146	90	-0.119424048004097
147	50	-0.127113091310182
147	90	-0.178815319561303
148	50	-0.0429767876585779
148	90	-0.136258737215658
149	50	-0.0876871524489501
149	90	-0.146276927562076
150	50	-0.0820981389359865
150	90	-0.142750078081542
151	50	-0.105718860981986
151	90	-0.149735052093523
152	50	-0.143506454431727
152	90	-0.130782129105634
153	50	-0.0888297020468897
153	90	-0.15682851036822
154	50	-0.185716902157485
154	90	-0.187792689825313
155	50	-0.0886297514908084
155	90	-0.170037012195101
156	50	-0.160516022210549
156	90	-0.15000825191972
157	50	-0.0749401776745256
157	90	-0.13773021978537
158	50	-0.138493349809153
158	90	-0.131742996190269
159	50	-0.154459289695376
159	90	-0.177511622376935
160	50	-0.210215823295637
160	90	-0.228801808310001
161	50	-0.181809096451739
161	90	-0.188764445037383
162	50	-0.136640620559892
162	90	-0.148619718448264
163	50	-0.118892408600308
163	90	-0.184061929584123
164	50	-0.14959210354607
164	90	-0.192291857418755
165	50	-0.12893300543317
165	90	-0.175315484710581
166	50	-0.114334388110724
166	90	-0.178968536947745
167	50	-0.0993692769447353
167	90	-0.168565428329782
168	50	0.0100546296925974
168	90	-0.0693503282038303
169	50	-0.163043719349286
169	90	-0.16770838139006
170	50	-0.177706656107276
170	90	-0.162652005887343
171	50	-0.0482576699581325
171	90	-0.109259219603529
172	50	-0.0833147008415755
172	90	-0.135170802066341
173	50	-0.123421751215957
173	90	-0.139474439366499
174	50	-0.124911754438505
174	90	-0.148988673364581
175	50	-0.19835607288783
175	90	-0.206585480777391
176	50	-0.0305706672607167
176	90	-0.162317709892133
177	50	-0.192861702435869
177	90	-0.229543473969697
178	50	-0.114532331983291
178	90	-0.207516453005153
179	50	-0.127361283620878
179	90	-0.157623679036864
180	50	-0.125275604241484
180	90	-0.147956441424641
181	50	-0.153403489627482
181	90	-0.163905169910571
182	50	-0.0722724940588173
182	90	-0.159482279091127
183	50	-0.0142337422727157
183	90	-0.095515952108532
184	50	-0.131757797771484
184	90	-0.156520130399851
185	50	-0.181661644890387
185	90	-0.19988959164063
186	50	-0.12183940317338
186	90	-0.14052373444043
187	50	-0.180437055721102
187	90	-0.175475334860332
188	50	-0.138937366129875
188	90	-0.178229978709982
189	50	-0.116383220402851
189	90	-0.172509225047439
190	50	-0.119438808509259
190	90	-0.171074224617061
191	50	-0.124026594536494
191	90	-0.151610706539354
192	50	-0.169791075944176
192	90	-0.190118246393105
193	50	-0.126487871201931
193	90	-0.174308381506077
194	50	-0.179237354998881
194	90	-0.208852335904353
195	50	-0.1191242165768
195	90	-0.163506585404413
196	50	-0.154267429703916
196	90	-0.190193988125051
197	50	-0.0869791096389504
197	90	-0.149418851229603
198	50	-0.00817918079791781
198	90	-0.109003949931333
199	50	-0.195815349788505
199	90	-0.208979096612271
200	50	-0.108415669529016
200	90	-0.159229943257522
201	50	-0.212404286793593
201	90	-0.208892057287654
202	50	-0.134517680702597
202	90	-0.163103489896692
203	50	-0.16221951941533
203	90	-0.161105248565572
204	50	-0.194617298938441
204	90	-0.217236200503082
205	50	-0.147290111615234
205	90	-0.170514270462358
206	50	-0.235072053568133
206	90	-0.284766183174175
207	50	-0.175131685143949
207	90	-0.191950265298211
208	50	-0.136906409234383
208	90	-0.157202127288535
209	50	-0.0813789244880941
209	90	-0.200674348544162
210	50	-0.0825153717573953
210	90	-0.137434138180587
211	50	-0.109053286330688
211	90	-0.179320086249594
212	50	-0.0459916436746446
212	90	-0.10678472498513
213	50	-0.0935871215013802
213	90	-0.117696759147927
214	50	-0.110468164891429
214	90	-0.145599556556198
215	50	-0.0489656168832165
215	90	-0.149099168949022
216	50	-0.161895001314563
216	90	-0.19398068980174
217	50	-0.152121850004705
217	90	-0.191449360024729
218	50	-0.226780815509804
218	90	-0.223856215013599
219	50	-0.120579208553932
219	90	-0.15130720135904
220	50	-0.135159737773813
220	90	-0.172683777791785
221	50	-0.135817084992537
221	90	-0.199466624826745
222	50	-0.146517797172029
222	90	-0.204625673705149
223	50	-0.0909637077185175
223	90	-0.151000136284296
224	50	-0.121805527589394
224	90	-0.14416585900167
225	50	-0.104052200016146
225	90	-0.187142734022909
226	50	-0.113259237031052
226	90	-0.181797166505815
227	50	-0.106293652483007
227	90	-0.21700977311782
228	50	-0.068084659312211
228	90	-0.146365776158158
229	50	-0.15620224776044
229	90	-0.166702507345784
230	50	-0.160631102882499
230	90	-0.226220269747594
231	50	-0.143009959771253
231	90	-0.173036248786311
232	50	-0.192449238946551
232	90	-0.210978507923365
233	50	-0.12132472587055
233	90	-0.165473976393957
234	50	-0.161878712293476
234	90	-0.176924342491758
235	50	-0.125729773225982
235	90	-0.155124042814413
236	50	-0.0819478789918019
236	90	-0.19501477464261
