Iter	HR	R.cor
1	50	-0.0449006333293168
1	90	-0.0305294793036353
2	50	-0.0865998104784596
2	90	-0.0724038693861666
3	50	-0.0580038446004188
3	90	-0.0511960233048041
4	50	-0.171595596559417
4	90	-0.158942568432889
5	50	-0.0768212825352274
5	90	-0.0878807909344052
6	50	-0.149200064355982
6	90	-0.124207827436163
7	50	-0.116682704536156
7	90	-0.11423549086606
8	50	-0.0790539561142947
8	90	-0.063084336058649
9	50	-0.0176233918900187
9	90	-0.0212995681357715
10	50	-0.127704626379755
10	90	-0.0966982688165877
11	50	-0.107082237980188
11	90	-0.0996517393560931
12	50	-0.000999318797716156
12	90	-0.0475015587331448
13	50	-0.05538783781822
13	90	-0.0469274855447504
14	50	-0.126412536284554
14	90	-0.0894036553516529
15	50	-0.111266247957753
15	90	-0.137959498612642
16	50	-0.173016642063099
16	90	-0.136931918921498
17	50	-0.0315477965547637
17	90	-0.0500044595069787
18	50	-0.0706908631284354
18	90	-0.0483395963674846
19	50	-0.122726784874875
19	90	-0.0883812507614062
20	50	-0.195554521237747
20	90	-0.16247800058285
21	50	-0.127322723748008
21	90	-0.125743278779529
22	50	-0.045523006896979
22	90	-0.0534141458154949
23	50	-0.1346307575808
23	90	-0.0956332243410185
24	50	-0.108392779269006
24	90	-0.108257925106807
25	50	-0.098412446203523
25	90	-0.099164406533198
26	50	-0.103503566997475
26	90	-0.0853320123882306
27	50	-0.111734958263607
27	90	-0.121618249145183
28	50	-0.153567515451818
28	90	-0.119084156180188
29	50	-0.136587509240248
29	90	-0.104759018858838
30	50	0.0161085188165026
30	90	-0.0259139644582157
31	50	-0.0422634435306726
31	90	-0.063930943661598
32	50	-0.0199837994333635
32	90	-0.0373023361272803
33	50	-0.0414622445563932
33	90	-0.0391849188326031
34	50	-0.0848371819214403
34	90	-0.0775260570374932
35	50	-0.101285716318728
35	90	-0.139531972936079
36	50	-0.131075835755116
36	90	-0.116953861991425
37	50	0.00157290722994728
37	90	0.00162996387837067
38	50	-0.116075143285239
38	90	-0.067048508162252
39	50	0.023377942265491
39	90	0.00309005968983061
40	50	-0.0753175122928977
40	90	-0.0480383297417084
41	50	-0.0822944147996262
41	90	-0.0782213619467609
42	50	-0.0609982304292594
42	90	-0.0782418354492096
43	50	-0.127924310677562
43	90	-0.0780350082378648
44	50	-0.0836710665939833
44	90	-0.060646090787581
45	50	-0.106107957737775
45	90	-0.135101778110635
46	50	-0.168392305702392
46	90	-0.109931415614605
47	50	-0.0763133596897389
47	90	-0.0661630192441916
48	50	-0.11263419215695
48	90	-0.114962241780483
49	50	-0.0633474952023874
49	90	-0.0900502908366178
50	50	-0.116119429323885
50	90	-0.0970468023105537
51	50	-0.0886278310789262
51	90	-0.0932991886489447
52	50	-0.0102752778130901
52	90	-0.0269956680222774
53	50	-0.0331748204815932
53	90	-0.0243099282746728
54	50	-0.0957791714006021
54	90	-0.119837253701684
55	50	-0.0325902500496324
55	90	-0.0255885841939396
56	50	-0.228416833671319
56	90	-0.159656978408949
57	50	-0.0971191243744833
57	90	-0.0775838223444929
58	50	-0.132562907934132
58	90	-0.1261270432233
59	50	-0.103023316307561
59	90	-0.0706083643661301
60	50	-0.107289639588593
60	90	-0.0994651062156205
61	50	-0.177072775051895
61	90	-0.113992582706827
62	50	-0.139976138535674
62	90	-0.0949980079951536
63	50	-0.0700578052511523
63	90	-0.0387790032480441
64	50	-0.0162456504053768
64	90	-0.0258113061333077
65	50	-0.0561351770463341
65	90	-0.0511531796168333
66	50	-0.12603739198229
66	90	-0.103637917428556
67	50	-0.139641724691412
67	90	-0.08612681963811
68	50	0.0343174120608716
68	90	-0.00746526472818387
69	50	-0.0378775144001942
69	90	-0.0689915238756042
70	50	-0.179805067243298
70	90	-0.139072393539359
71	50	-0.112738115651302
71	90	-0.0788091246686193
72	50	-0.0369874375548863
72	90	-0.0567522543821353
73	50	-0.0898437514906796
73	90	-0.0919823783035026
74	50	-0.0596296017389099
74	90	-0.0483662235442205
75	50	-0.131756084661187
75	90	-0.0744151654579607
76	50	-0.160242789969938
76	90	-0.100890663665413
77	50	-0.0678415751727875
77	90	-0.0821795398271423
78	50	-0.0432951766771521
78	90	-0.0319530535474618
79	50	-0.124089952125501
79	90	-0.107892784531392
80	50	-0.196925741216001
80	90	-0.158637096463954
81	50	-0.009162946871179
81	90	-0.0431027541689741
82	50	-0.0517469433390486
82	90	-0.0842861473083381
83	50	-0.109781636307392
83	90	-0.0729177305183815
84	50	-0.0927310788658214
84	90	-0.0667269789757293
85	50	-0.129846516960869
85	90	-0.144210577434075
86	50	-0.011192106513417
86	90	-0.0612480220214193
87	50	-0.114642916296348
87	90	-0.107686174172021
88	50	-0.134984742613833
88	90	-0.0672853196295951
89	50	-0.14839391897874
89	90	-0.1281605721161
90	50	-0.100369306216806
90	90	-0.0952823194315135
91	50	-0.136012865726054
91	90	-0.0975470776775173
92	50	-0.131069955222439
92	90	-0.0761652307994529
93	50	-0.0707743915629095
93	90	-0.0702054806450306
94	50	-0.110270954954836
94	90	-0.0838910680308067
95	50	-0.14148990938684
95	90	-0.086296195775099
96	50	-0.108449864446006
96	90	-0.107535085861415
97	50	-0.090289035275247
97	90	-0.0420393952980269
98	50	-0.277534301740247
98	90	-0.248523268066918
99	50	-0.0249631121357956
99	90	-0.0162392363020453
100	50	-0.091100680630442
100	90	-0.0883795707432574
101	50	-0.00788868063511176
101	90	-0.0455477437967019
102	50	-0.0999864489432514
102	90	-0.0569485621984237
103	50	-0.125394127023366
103	90	-0.105089258546334
104	50	-0.114003917955537
104	90	-0.0944880230913337
105	50	-0.0415512822844175
105	90	-0.0634406333720942
106	50	-0.0657847675623993
106	90	-0.0677988435488157
107	50	-0.0213250519437843
107	90	-0.0327998427306996
108	50	-0.0250869469525563
108	90	-0.05125299970649
109	50	-0.0113018444521669
109	90	-0.0223728454289456
110	50	-0.190533131200746
110	90	-0.184784920030676
111	50	-0.0637111902362718
111	90	-0.0660193159243201
112	50	-0.0235522366289919
112	90	-0.0472956106277125
113	50	-0.119479980748608
113	90	-0.0992833415575219
114	50	-0.1125451927799
114	90	-0.112783331786755
115	50	0.00681615799418433
115	90	0.00198005426212411
116	50	-0.0625090539020783
116	90	-0.0364169911948177
117	50	-0.141865526706236
117	90	-0.121370227265958
118	50	-0.191884511354891
118	90	-0.110999996297644
119	50	-0.173761695339037
119	90	-0.12274303896198
120	50	-0.146295607049415
120	90	-0.100605861940643
121	50	-0.000737618678923681
121	90	-0.0200492235683801
122	50	-0.136238229247481
122	90	-0.110047817430346
123	50	-0.123954899329361
123	90	-0.130958803217101
124	50	-0.0986646890206722
124	90	-0.0898614174467932
125	50	-0.0793809449893366
125	90	-0.114745799257901
126	50	-0.0551462295246354
126	90	-0.0515323147345516
127	50	-0.0624286941966099
127	90	-0.0559778638682815
128	50	-0.152973905169994
128	90	-0.115198342543415
129	50	-0.0275466045807145
129	90	-0.0638516825887913
130	50	-0.0522986779601405
130	90	-0.0800839139631467
131	50	-0.0946111286878222
131	90	-0.0720066830258236
132	50	-0.130196590262058
132	90	-0.12023166302163
133	50	-0.0684829307334695
133	90	-0.0838492056555517
134	50	-0.0681101106004949
134	90	-0.0698688506004134
135	50	-0.0275812464028187
135	90	0.0263205677868944
136	50	-0.089035103085157
136	90	-0.081090429974751
137	50	-0.0562761428704934
137	90	-0.0765137708610556
138	50	-0.0109954197289831
138	90	-0.0415650097151597
139	50	-0.117417068683078
139	90	-0.142946405951184
140	50	-0.0402560805204768
140	90	-0.0417635756796643
141	50	-0.0986052685245907
141	90	-0.0709717226894958
142	50	-0.0825762519859564
142	90	-0.0939048871280439
143	50	-0.0406573747300334
143	90	-0.0360545437158736
144	50	-0.101862285982945
144	90	-0.0986527283063341
145	50	0.00964625398329411
145	90	0.0118636910116781
146	50	-0.0866116760513292
146	90	-0.0728147598525216
147	50	-0.209324790692069
147	90	-0.167435630062812
148	50	-0.223297273752102
148	90	-0.166567362207709
149	50	-0.108787240105062
149	90	-0.0651234830203655
150	50	-0.0851384843794601
150	90	-0.0346816353196071
151	50	-0.0844259975229121
151	90	-0.111244559773108
152	50	-0.213937620930431
152	90	-0.133960558729711
153	50	-0.189149029224279
153	90	-0.163288860882432
154	50	-0.076464252568605
154	90	-0.0585251097172191
155	50	-0.0964546944170131
155	90	-0.0977725165449378
156	50	-0.131397535729445
156	90	-0.03656829621651
157	50	0.0116857734823836
157	90	-0.0218335856439731
158	50	-0.0506764015381362
158	90	-0.0451075263841798
159	50	-0.226645366574118
159	90	-0.191357170542487
160	50	-0.0816710350971903
160	90	-0.0762630635656167
161	50	-0.0422223605266037
161	90	-0.0762794198574946
162	50	-0.0827438534015296
162	90	-0.0844383401807659
163	50	-0.10175081369321
163	90	-0.081795298666339
164	50	-0.0937374137470535
164	90	-0.0691146130365402
165	50	-0.0787046010182895
165	90	-0.0714269046203586
166	50	-0.140986999055482
166	90	-0.154322039044766
167	50	-0.0996598355306783
167	90	-0.0478936797766427
168	50	0.0201073876512967
