Iter	HR	R.cor
1	50	0.0523913198134421
1	90	0.0337997490680528
2	50	-0.0913069961977879
2	90	-0.0755397876210861
3	50	0.0247566721176878
3	90	-0.0102290790933834
4	50	-0.045621519368931
4	90	-0.0184641542142822
5	50	-0.0969247133257751
5	90	-0.0178854568056069
6	50	0.0122625065247712
6	90	-0.024769475896491
7	50	-0.203629527266208
7	90	-0.112177264961546
8	50	-0.157338977534883
8	90	-0.0739578244315609
9	50	-0.045355458160038
9	90	-0.0917482653356493
10	50	-0.11862508565513
10	90	-0.103182261605416
11	50	-0.00606092626741425
11	90	-0.0274690019341481
12	50	-0.184666337156972
12	90	-0.121842968334713
13	50	0.00910040552302935
13	90	-0.00538974613068945
14	50	-0.104211107095968
14	90	-0.0445356386915612
15	50	-0.00223629236887184
15	90	0.00779413881554906
16	50	-0.0919719517812345
16	90	-0.0706824352925028
17	50	-0.138394546559483
17	90	-0.1122499793781
18	50	-0.0354267288980363
18	90	-0.0293705295772485
19	50	-0.0377420437408307
19	90	-0.0262215993641346
20	50	0.0475985901351703
20	90	0.0633914516975563
21	50	-0.00603641398409121
21	90	0.0251758813857603
22	50	0.00376153218561181
22	90	0.00565854769498934
23	50	-0.0251148778798325
23	90	-0.0584967062243517
24	50	-0.0798779991159236
24	90	-0.0605883321830449
25	50	-0.111370469933864
25	90	-0.0719846084812544
26	50	-0.11944524341721
26	90	-0.0756488167173391
27	50	-0.0197837563475663
27	90	-0.0233532150335004
28	50	-0.0436894064942893
28	90	-0.00632494334375524
29	50	0.0218733542975808
29	90	0.00162701960684412
30	50	-0.0903127334266985
30	90	-0.0407505885821397
31	50	0.0375047467205327
31	90	0.0330674767117548
32	50	-0.00622474415480636
32	90	-0.00222938962866322
33	50	-0.146570147185973
33	90	-0.121567411601094
34	50	0.0661519881732554
34	90	0.0144540308459236
35	50	-0.230349650392144
35	90	-0.157657684730438
36	50	-0.0713944923338299
36	90	-0.0505163430320791
37	50	-0.105175105651038
37	90	-0.0915431515010718
38	50	-0.077376200237341
38	90	-0.0879396871783196
39	50	-0.0594317524437932
