Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2018/12/03, 02:55:28, -37.856258, 77.522820, 18.46,  0.00, 48, -2, 0.00, 1
2018/12/03, 02:56:34, -37.856201, 77.522858, 9.84,  0.00, 0, 0, 7.16, 1
2018/12/03, 02:56:39, -37.856388, 77.522713, 17.94,  0.00, 0, 0, 24.38, 1
2018/12/03, 04:32:33, -37.856201, 77.522865, 29.83,  0.00, 10, 0, 24.71, 1
2018/12/03, 04:32:34, -37.856201, 77.522865, 29.83,  0.00, 10, 0, 0.00, 1
2018/12/03, 04:32:35, -37.856201, 77.522865, 29.83,  0.00, 10, 0, 0.00, 1
2018/12/03, 04:32:36, -37.856201, 77.522865, 29.83,  0.00, 10, 0, 0.00, 1
2018/12/03, 04:32:37, -37.856201, 77.522865, 29.83,  0.00, 10, 0, 0.00, 1
2018/12/03, 04:32:38, -37.856201, 77.522865, 29.83,  0.00, 10, 0, 0.00, 1
2018/12/03, 04:32:39, -37.856201, 77.522865, 29.83,  0.00, 10, 0, 0.00, 1
2018/12/03, 04:32:42, -37.856201, 77.522865, 29.83,  0.00, 10, 0, 0.00, 1
2018/12/03, 04:32:43, -37.856201, 77.522865, 29.83,  0.00, 10, 0, 0.00, 1
2018/12/03, 04:32:44, -37.856201, 77.522865, 29.83,  0.00, 10, 0, 0.00, 1
2018/12/03, 04:32:45, -37.856201, 77.522865, 29.83,  0.00, 10, 0, 0.00, 1
2018/12/03, 04:32:46, -37.856201, 77.522865, 29.83,  0.00, 10, 0, 0.00, 1
2018/12/03, 04:32:47, -37.856201, 77.522865, 29.83,  0.00, 10, 0, 0.00, 1
2018/12/03, 04:32:48, -37.856201, 77.522865, 29.83,  0.00, 10, 0, 0.00, 1
2018/12/03, 04:32:49, -37.856300, 77.522835, 22.18,  1764.00, 10, 0, 11.32, 1
2018/12/03, 04:32:50, -37.856308, 77.522835, 22.03,  2664.00, 120, 0, 0.89, 1
2018/12/03, 04:32:52, -37.856308, 77.522835, 21.27,  1908.00, 120, 0, 0.00, 1
2018/12/03, 04:32:53, -37.856308, 77.522827, 22.53,  1368.00, 120, 0, 0.70, 1
2018/12/03, 04:32:57, -37.856316, 77.522835, 22.36,  0.00, 120, 0, 1.13, 1
2018/12/03, 04:32:58, -37.856316, 77.522835, 22.36,  0.00, 120, 0, 0.00, 1
2018/12/03, 04:32:59, -37.856316, 77.522835, 22.36,  0.00, 120, 0, 0.00, 1
2018/12/03, 04:33:00, -37.856316, 77.522835, 22.36,  0.00, 120, 0, 0.00, 1
2018/12/03, 04:33:01, -37.856316, 77.522835, 22.36,  0.00, 120, 0, 0.00, 1
2018/12/03, 04:33:02, -37.856316, 77.522835, 22.36,  0.00, 120, 0, 0.00, 1
2018/12/03, 04:33:03, -37.856316, 77.522835, 22.36,  0.00, 120, 0, 0.00, 1
2018/12/03, 04:33:04, -37.856316, 77.522835, 22.36,  0.00, 120, 0, 0.00, 1
2018/12/03, 04:33:05, -37.856316, 77.522835, 22.36,  0.00, 120, 0, 0.00, 1
2018/12/03, 04:33:06, -37.856316, 77.522835, 22.36,  0.00, 120, 0, 0.00, 1
2018/12/03, 04:33:07, -37.856316, 77.522835, 22.36,  0.00, 120, 0, 0.00, 1
2018/12/03, 04:33:08, -37.856319, 77.522865, 16.86,  1620.00, 120, 0, 2.65, 1
2018/12/03, 04:33:09, -37.856327, 77.522865, 16.46,  1872.00, 120, 0, 0.89, 1
2018/12/03, 04:33:10, -37.856323, 77.522865, 15.90,  684.00, 120, 0, 0.44, 1
2018/12/03, 04:33:11, -37.856319, 77.522865, 16.01,  576.00, 120, 0, 0.44, 1
2018/12/03, 04:33:12, -37.856312, 77.522865, 16.36,  0.00, 120, 0, 0.78, 1
2018/12/03, 04:33:13, -37.856304, 77.522858, 15.67,  1800.00, 120, 0, 1.08, 1
2018/12/03, 04:33:14, -37.856300, 77.522858, 15.50,  1296.00, 120, 0, 0.44, 1
2018/12/03, 04:33:15, -37.856297, 77.522865, 15.45,  1440.00, 120, 0, 0.70, 1
2018/12/03, 04:33:16, -37.856300, 77.522858, 14.96,  504.00, 120, 0, 0.70, 1
2018/12/03, 04:33:17, -37.856312, 77.522858, 14.49,  792.00, 120, 0, 1.33, 1
2018/12/03, 04:33:18, -37.856319, 77.522858, 14.35,  1728.00, 120, 0, 0.78, 1
2018/12/03, 04:33:19, -37.856316, 77.522858, 14.61,  1224.00, 120, 0, 0.33, 1
2018/12/03, 04:33:20, -37.856319, 77.522858, 14.24,  1944.00, 120, 0, 0.33, 1
2018/12/03, 04:33:21, -37.856312, 77.522873, 14.16,  2052.00, 120, 0, 1.53, 1
2018/12/03, 04:33:22, -37.856308, 77.522881, 13.52,  2412.00, 111, 0, 0.83, 1
2018/12/03, 04:33:23, -37.856308, 77.522888, 12.91,  2124.00, 111, -4, 0.61, 1
2018/12/03, 21:06:04, -37.856312, 77.522919, 12.05,  2124.00, 111, -2, 0.00, 1
2018/12/03, 21:27:04, -37.856159, 77.522987, -24.74,  3528.00, 128, -4, 18.03, 1
2018/12/04, 02:30:32, -37.856243, 77.522820, 33.88,  3528.00, 128, -2, 0.00, 1
2018/12/04, 03:10:27, -37.856243, 77.522820, 33.88,  216.00, 104, 0, 0.00, 
2018/12/04, 03:15:41, -37.856339, 77.522858, 60.39,  360.00, 165, 0, 11.18, 1
2018/12/04, 03:20:49, -37.856205, 77.523003, 20.01,  0.00, 136, 0, 19.60, 1
2018/12/04, 03:26:00, -37.856049, 77.522705, 62.53,  324.00, 235, 0, 31.39, 1
2018/12/04, 03:31:09, -37.854298, 77.525551, -28.86,  0.00, 210, 0, 316.77, 1
2018/12/04, 03:36:18, -37.856026, 77.523109, 52.76,  0.00, 109, 0, 287.90, 1
2018/12/04, 03:41:27, -37.856113, 77.522865, 80.46,  0.00, 66, 0, 23.50, 1
2018/12/04, 03:46:56, -37.854996, 77.523575, 153.40,  432.00, 216, 0, 138.97, 1
2018/12/04, 03:52:07, -37.855911, 77.523003, 66.24,  0.00, 76, 0, 113.46, 1
2018/12/04, 03:57:22, -37.855309, 77.523354, -22.19,  0.00, 191, 0, 73.69, 1
2018/12/04, 04:02:47, -37.855862, 77.522934, 32.01,  720.00, 197, 0, 71.70, 1
2018/12/04, 04:08:24, -37.856071, 77.523033, 28.58,  1296.00, 186, 0, 24.81, 1
2018/12/04, 04:15:09, -37.856449, 77.523026, -32.87,  36.00, 192, 0, 42.04, 1
2018/12/04, 04:22:45, -37.855968, 77.522850, 83.75,  0.00, 327, 0, 55.67, 1
2018/12/04, 07:21:32, -37.855968, 77.522850, 83.75,  0.00, 327, 0, 0.00, 
2018/12/04, 07:28:53, -37.855492, 77.524200, 107.89,  396.00, 177, 0, 129.80, 1
2018/12/04, 07:34:24, -37.854458, 77.524139, 145.81,  0.00, 0, 0, 115.10, 1
2018/12/04, 07:48:58, -37.854763, 77.524109, 154.93,  0.00, 188, 0, 34.02, 1
2018/12/04, 07:54:53, -37.854706, 77.524094, 147.27,  684.00, 274, 0, 6.47, 1
2018/12/04, 08:05:36, -37.854687, 77.524132, 144.20,  540.00, 231, 0, 3.95, 1
2018/12/04, 08:11:00, -37.854687, 77.524155, 146.64,  72.00, 175, 0, 2.02, 1
2018/12/04, 08:18:34, -37.854637, 77.524170, 138.02,  576.00, 0, 0, 5.71, 1
2018/12/04, 08:23:55, -37.854729, 77.524124, 149.67,  756.00, 0, 0, 11.00, 1
2018/12/04, 08:29:16, -37.854771, 77.524162, 158.80,  612.00, 208, 0, 5.74, 1
2018/12/04, 08:34:37, -37.854687, 77.524170, 146.67,  504.00, 33, 0, 9.37, 1
2018/12/04, 08:39:57, -37.854702, 77.524109, 140.73,  396.00, 344, 0, 5.61, 1
2018/12/04, 08:45:15, -37.854706, 77.524147, 138.31,  396.00, 0, 0, 3.37, 1
2018/12/04, 08:50:35, -37.854660, 77.524170, 136.70,  108.00, 38, 0, 5.50, 1
2018/12/04, 08:55:54, -37.854702, 77.524223, 153.10,  396.00, 0, 0, 6.59, 1
2018/12/04, 09:01:12, -37.854713, 77.524155, 149.23,  864.00, 0, 0, 6.09, 1
2018/12/04, 09:06:22, -37.854740, 77.524200, 156.83,  396.00, 0, 0, 4.96, 1
2018/12/04, 09:12:02, -37.854717, 77.524155, 147.99,  288.00, 304, 0, 4.71, 1
2018/12/04, 09:17:12, -37.854794, 77.524193, 155.45,  0.00, 194, 0, 9.19, 1
2018/12/04, 09:22:19, -37.854740, 77.524139, 151.68,  0.00, 0, 0, 7.65, 1
2018/12/04, 09:27:36, -37.854694, 77.524117, 155.08,  396.00, 0, 0, 5.47, 1
2018/12/04, 09:32:52, -37.854736, 77.524124, 154.17,  828.00, 0, 0, 4.71, 1
2018/12/04, 09:38:10, -37.854702, 77.524155, 140.90,  792.00, 0, 0, 4.66, 1
2018/12/04, 09:43:29, -37.854679, 77.524162, 133.90,  36.00, 4, 0, 2.63, 1
2018/12/04, 09:48:50, -37.854637, 77.524162, 141.31,  1008.00, 173, 0, 4.67, 1
2018/12/04, 09:54:09, -37.854656, 77.524132, 152.68,  252.00, 314, 0, 3.38, 1
2018/12/04, 09:59:28, -37.854668, 77.524132, 149.94,  756.00, 53, 0, 1.33, 1
2018/12/04, 10:04:47, -37.854656, 77.524132, 147.70,  180.00, 0, 0, 1.33, 1
2018/12/04, 10:10:01, -37.854706, 77.524139, 138.76,  396.00, 0, 0, 5.59, 1
2018/12/04, 10:15:14, -37.854683, 77.524139, 143.04,  180.00, 175, 0, 2.56, 1
2018/12/04, 10:20:28, -37.854664, 77.524117, 143.63,  288.00, 0, 0, 2.86, 1
2018/12/04, 10:25:42, -37.854729, 77.524117, 153.47,  576.00, 0, 0, 7.23, 1
2018/12/04, 10:30:55, -37.854691, 77.524117, 141.56,  468.00, 193, 0, 4.23, 1
2018/12/04, 10:36:06, -37.854633, 77.524094, 139.81,  432.00, 0, 0, 6.76, 1
