Logger ID	Year	Month	Day	Hour	Minute	Second	Latitude	Longitude	Speed	Searching time	Voltage	Temperature	Altitude	Div up	Div down	No GPS - timeout	No GPS - diving	In range	Diving duration	Raw latitude	Raw Longitude	Decision voltage
HAR01	2015	12	11	3	55	0	-37.854583	77.523950	0.0	10	4.03									3751275S	07731437E	
HAR01	2015	12	11	3	55	0	-37.854583	77.523933	0.0	50	4.03									3751275S	07731436E	
HAR01	2015	12	11	3	56	0	-37.854600	77.523967	0.2	10	4.03									3751276S	07731438E	
HAR01	2015	12	11	3	56	0	-37.854617	77.523950	0.3	9	4.03									3751277S	07731437E	
HAR01	2015	12	11	3	57	0	-37.854433	77.524083	16.	11	4.03		155							3751266S	07731445E	
HAR01	2015	12	11	4	2	0	-37.854517	77.524000	1.4	11	4.03		151							3751271S	07731440E	
HAR01	2015	12	11	4	8	0	-37.854633	77.523950	0.3	20	4.03		153							3751278S	07731437E	
HAR01	2015	12	11	4	13	0	-37.854717	77.523883	0.2	11	4.05		165							3751283S	07731433E	
HAR01	2015	12	11	4	19	0	-37.873117	77.516383	19.	11	4.07		78							3752387S	07730983E	
HAR01	2015	12	11	4	24	0	-37.884533	77.506100	14.	11	4.09		19							3753072S	07730366E	
HAR01	2015	12	11	4	30	0	-37.885967	77.485517	19.	11	4.09		22							3753158S	07729131E	
HAR01	2015	12	11	4	35	0	-37.896283	77.470167	18.	9	4.09		25							3753777S	07728210E	
HAR01	2015	12	11	4	41	0	-37.897450	77.454833	19.	9	4.09		25							3753847S	07727290E	
HAR01	2015	12	11	4	46	0	-37.903850	77.435567	13.	11	4.1		22							3754231S	07726134E	
HAR01	2015	12	11	4	52	0	-37.894600	77.412433	20.	11	4.09		17							3753676S	07724746E	
HAR01	2015	12	11	4	57	0	-37.880883	77.398583	23.	10	4.09		22							3752853S	07723915E	
HAR01	2015	12	11	5	3	0	-37.865817	77.377817	27.	11	4.09		22							3751949S	07722669E	
HAR01	2015	12	11	5	8	0	-37.847683	77.360233	25.	8	4.09		35							3750861S	07721614E	
HAR01	2015	12	11	5	14	0	-37.819167	77.350450	21.	10	4.1		5							3749150S	07721027E	
HAR01	2015	12	11	5	19	0	-37.794317	77.338050	24.	9	4.11		1							3747659S	07720283E	
HAR01	2015	12	11	5	25	0	-37.765517	77.332550	14.	10	4.11		4							3745931S	07719953E	
HAR01	2015	12	11	5	31	0	-37.740083	77.320317	27.	10	4.1		0							3744405S	07719219E	
HAR01	2015	12	11	5	36	0	-37.712900	77.309767	23.	12	4.11		6							3742774S	07718586E	
HAR01	2015	12	11	5	42	0	-37.683417	77.306300	17.	10	4.11		0							3741005S	07718378E	
HAR01	2015	12	11	5	47	0	-37.653267	77.300900	19.	11	4.11		0							3739196S	07718054E	
HAR01	2015	12	11	5	53	0	-37.624550	77.294233	22.	9	4.11		0							3737473S	07717654E	
HAR01	2015	12	11	5	59	0	-37.591467	77.297700	26.	16	4.09		7							3735488S	07717862E	
HAR01	2015	12	11	6	4	0	-37.563883	77.292967	25.	12	4.09		2							3733833S	07717578E	
HAR01	2015	12	11	6	11	2										1						
HAR01	2015	12	11	6	16	0	-37.495900	77.299267	29.	9	4.1		4							3729754S	07717956E	
HAR01	2015	12	11	6	21	0	-37.466850	77.304350	27.	9	4.09		0							3728011S	07718261E	
HAR01	2015	12	11	6	27	0	-37.438317	77.304083	33.	10	4.09		0							3726299S	07718245E	
HAR01	2015	12	11	6	32	0	-37.409333	77.298483	20.	9	4.1		1							3724560S	07717909E	
HAR01	2015	12	11	6	38	0	-37.382417	77.289833	21.	9	4.11		1							3722945S	07717390E	
HAR01	2015	12	11	6	43	0	-37.351400	77.284767	28.	9	4.09		4							3721084S	07717086E	
HAR01	2015	12	11	6	49	0	-37.319650	77.281600	16.	9	4.09		0							3719179S	07716896E	
HAR01	2015	12	11	6	54	0	-37.293017	77.272083	27.	9	4.09		0							3717581S	07716325E	
HAR01	2015	12	11	7	0	0	-37.264433	77.267900	20.	9	4.1		1							3715866S	07716074E	
HAR01	2015	12	11	7	5	0	-37.254700	77.266150	1.1	9	4.09		0							3715282S	07715969E	
