Logger ID;Year;Month;Day;Hour;Minute;Second;Latitude;Longitude;Speed;Searching time;Voltage;Temperature;Altitude;Div up;Div down;No GPS - timeout;No GPS - diving;In range;Diving duration;Raw latitude;Raw Longitude;Decision voltage;Milisecond;Acc_X;Acc_Y;Acc_Z
BAR06;2018;12;2;11;38;0;-37.854617;77.524033;0.1;49;4.01;20.5;;;;;;;;3751277S;07731442E;;0;;;
BAR06;2018;12;2;11;38;30;;;;;;;;;;;;1;;;;4.01;0;;;
BAR06;2018;12;2;11;39;0;-37.854750;77.524033;0.4;32;4.01;20.5;;;;;;;;3751285S;07731442E;;0;;;
BAR06;2018;12;2;11;39;0;-37.854717;77.524050;0.1;23;4;20.5;;;;;;;;3751283S;07731443E;;0;;;
BAR06;2018;12;2;11;39;0;-37.854717;77.524000;0.0;26;3.99;20.5;;;;;;;;3751283S;07731440E;;0;;;
BAR06;2018;12;2;11;39;4;;;;;;;;;;;;1;;;;4;0;;;
BAR06;2018;12;2;11;39;31;;;;;;;;;;;;1;;;;3.99;0;;;
BAR06;2018;12;2;11;44;56;;;;;;;;;;;;1;;;;4;0;;;
BAR06;2018;12;2;11;44;57;;;;;;;;;;;;1;;;;4;0;;;
BAR06;2018;12;2;11;49;52;;;;;;;;;;;;1;;;;4.01;0;;;
BAR06;2018;12;2;11;49;53;;;;;;;;;;;;1;;;;4;0;;;
BAR06;2018;12;2;11;54;47;;;;;;;;;;;;1;;;;4.01;0;;;
BAR06;2018;12;2;11;54;48;;;;;;;;;;;;1;;;;4.01;0;;;
BAR06;2018;12;2;11;54;55;;;;;;;;;;;;1;;;;4.01;0;;;
BAR06;2018;12;2;11;54;56;;;;;;;;;;;;1;;;;4.01;0;;;
BAR06;2018;12;2;11;54;57;;;;;;;;;;;;1;;;;4.01;0;;;
BAR06;2018;12;2;11;57;58;;;;;;;;;;1;;;;;;;0;;;
BAR06;2018;12;2;12;2;56;;;;;;;;;;;;1;;;;4;0;;;
BAR06;2018;12;2;12;2;57;;;;;;;;;;;;1;;;;4;0;;;
BAR06;2018;12;2;12;7;51;;;;;;;;;;;;1;;;;4;0;;;
BAR06;2018;12;2;12;7;52;;;;;;;;;;;;1;;;;4;0;;;
BAR06;2018;12;2;12;12;47;;;;;;;;;;;;1;;;;4;0;;;
BAR06;2018;12;2;12;12;49;;;;;;;;;;;;1;;;;4;0;;;
BAR06;2018;12;2;12;12;55;;;;;;;;;;;;1;;;;4;0;;;
BAR06;2018;12;2;12;12;56;;;;;;;;;;;;1;;;;4;0;;;
BAR06;2018;12;2;12;12;57;;;;;;;;;;;;1;;;;4;0;;;
BAR06;2018;12;2;12;14;0;-37.854767;77.523917;0.1;53;4;23.5;;;;;;;;3751286S;07731435E;;0;;;
BAR06;2018;12;2;12;19;0;;;;;;;;;;;;1;;;;4;0;;;
BAR06;2018;12;2;12;19;1;;;;;;;;;;;;1;;;;3.99;0;;;
BAR06;2018;12;2;12;29;0;-37.852883;77.497850;1.5;11;3.99;17;;;;;;;;3751173S;07729871E;;0;;;
BAR06;2018;12;2;12;44;0;-37.853733;77.500717;32.;19;4;16.5;;;;;;;;3751224S;07730043E;;0;;;
BAR06;2018;12;2;13;0;0;-37.867600;77.510717;23.;14;4;16.5;;;;;;;;3752056S;07730643E;;0;;;
BAR06;2018;12;2;13;15;0;-37.879750;77.551267;21.;8;4;16;;;;;;;;3752785S;07733076E;;0;;;
BAR06;2018;12;2;13;30;0;-37.891900;77.593367;1.8;12;4;14.5;;;;;;;;3753514S;07735602E;;0;;;
BAR06;2018;12;2;13;45;0;-37.856233;77.656750;26.;11;3.99;15;;;;;;;;3751374S;07739405E;;0;;;
BAR06;2018;12;2;14;1;0;-37.896950;77.750350;12.;8;3.99;15;;;;;;;;3753817S;07745021E;;0;;;
BAR06;2018;12;2;14;17;0;-37.960733;77.869783;12.;66;3.99;15;;;;;;;;3757644S;07752187E;;0;;;
BAR06;2018;12;2;14;32;0;-37.945317;77.908450;1.9;31;3.98;15.5;;;;;;;;3756719S;07754507E;;0;;;
BAR06;2018;12;2;14;48;0;-37.871667;77.892800;24.;36;3.98;15.5;;;;;;;;3752300S;07753568E;;0;;;
BAR06;2018;12;2;15;4;0;-37.806300;77.886517;16.;61;3.98;15.5;;;;;;;;3748378S;07753191E;;0;;;
BAR06;2018;12;2;15;19;0;-37.765867;77.891633;14.;11;3.98;16;;;;;;;;3745952S;07753498E;;0;;;
BAR06;2018;12;2;15;35;0;-37.741183;77.905683;0.4;27;3.98;16;;;;;;;;3744471S;07754341E;;0;;;
BAR06;2018;12;2;15;50;0;-37.740133;77.908667;3.7;7;3.98;15;;;;;;;;3744408S;07754520E;;0;;;
BAR06;2018;12;2;16;6;0;-37.739000;77.911133;0.7;12;3.98;15.5;;;;;;;;3744340S;07754668E;;0;;;
BAR06;2018;12;2;16;21;0;-37.737567;77.913733;0.2;13;3.98;15.5;;;;;;;;3744254S;07754824E;;0;;;
BAR06;2018;12;2;16;36;0;-37.736300;77.915917;0.8;21;3.97;15.5;;;;;;;;3744178S;07754955E;;0;;;
BAR06;2018;12;2;16;52;0;-37.734183;77.918433;3.1;21;3.97;16;;;;;;;;3744051S;07755106E;;0;;;
BAR06;2018;12;2;17;7;0;-37.731633;77.920300;1.4;31;3.97;16;;;;;;;;3743898S;07755218E;;0;;;
BAR06;2018;12;2;17;23;0;-37.723033;77.925900;0.9;17;3.97;15;;;;;;;;3743382S;07755554E;;0;;;
BAR06;2018;12;2;17;38;0;-37.720183;77.927983;0.9;36;3.97;15.5;;;;;;;;3743211S;07755679E;;0;;;
BAR06;2018;12;2;17;54;0;-37.718400;77.930617;0.7;7;3.96;14.5;;;;;;;;3743104S;07755837E;;0;;;
BAR06;2018;12;2;18;9;0;-37.716583;77.932367;0.4;6;3.96;15;;;;;;;;3742995S;07755942E;;0;;;
BAR06;2018;12;2;18;24;0;-37.715033;77.933700;0.2;12;3.96;15;;;;;;;;3742902S;07756022E;;0;;;
BAR06;2018;12;2;18;39;0;-37.713333;77.934850;1.4;13;3.96;15;;;;;;;;3742800S;07756091E;;0;;;
BAR06;2018;12;2;18;55;0;-37.711983;77.936100;1.5;12;3.96;15;;;;;;;;3742719S;07756166E;;0;;;
BAR06;2018;12;2;19;10;0;-37.710217;77.937550;0.8;28;3.96;15.5;;;;;;;;3742613S;07756253E;;0;;;
BAR06;2018;12;2;19;26;0;-37.709433;77.937933;0.6;37;3.96;15.5;;;;;;;;3742566S;07756276E;;0;;;
BAR06;2018;12;2;19;41;0;-37.708617;77.938833;2.1;5;3.96;14.5;;;;;;;;3742517S;07756330E;;0;;;
BAR06;2018;12;2;19;56;0;-37.705000;77.939550;1.7;4;3.96;15;;;;;;;;3742300S;07756373E;;0;;;
BAR06;2018;12;2;20;12;0;-37.703000;77.940167;1.1;5;3.95;15.5;;;;;;;;3742180S;07756410E;;0;;;
BAR06;2018;12;2;20;27;0;-37.701167;77.940933;0.2;6;3.95;15;;;;;;;;3742070S;07756456E;;0;;;
BAR06;2018;12;2;20;42;0;-37.699983;77.941817;0.7;7;3.95;15;;;;;;;;3741999S;07756509E;;0;;;
BAR06;2018;12;2;20;57;0;-37.698667;77.942317;0.4;7;3.95;15;;;;;;;;3741920S;07756539E;;0;;;
BAR06;2018;12;2;21;12;0;-37.697500;77.943033;0.8;8;3.95;15.5;;;;;;;;3741850S;07756582E;;0;;;
BAR06;2018;12;2;21;28;0;-37.696733;77.944117;0.0;10;3.95;15.5;;;;;;;;3741804S;07756647E;;0;;;
BAR06;2018;12;2;21;43;0;-37.696017;77.945250;1.2;11;3.95;15.5;;;;;;;;3741761S;07756715E;;0;;;
BAR06;2018;12;2;21;59;0;-37.695950;77.946833;0.5;29;3.95;14.5;;;;;;;;3741757S;07756810E;;0;;;
BAR06;2018;12;2;22;14;0;-37.692500;77.947200;15.;13;3.95;14.5;;;;;;;;3741550S;07756832E;;0;;;
BAR06;2018;12;2;22;29;0;-37.682017;77.927000;6.1;20;3.95;14.5;;;;;;;;3740921S;07755620E;;0;;;
BAR06;2018;12;2;22;45;0;-37.689567;77.921283;7.8;35;3.95;15.5;;;;;;;;3741374S;07755277E;;0;;;
BAR06;2018;12;2;23;0;0;-37.678217;77.887700;33.;14;3.95;15;;;;;;;;3740693S;07753262E;;0;;;
BAR06;2018;12;2;23;16;0;-37.701733;77.887133;11.;14;3.95;15;;;;;;;;3742104S;07753228E;;0;;;
BAR06;2018;12;2;23;31;0;-37.706500;77.872633;26.;11;3.95;15;;;;;;;;3742390S;07752358E;;0;;;
BAR06;2018;12;2;23;46;0;-37.700600;77.838233;7.8;18;3.95;15.5;;;;;;;;3742036S;07750294E;;0;;;
BAR06;2018;12;3;0;2;0;-37.684317;77.803083;18.;13;3.95;15.5;;;;;;;;3741059S;07748185E;;0;;;
BAR06;2018;12;3;0;17;0;-37.683900;77.764333;12.;23;3.95;15;;;;;;;;3741034S;07745860E;;0;;;
BAR06;2018;12;3;0;32;0;-37.699033;77.733917;15.;17;3.95;16;;;;;;;;3741942S;07744035E;;0;;;
BAR06;2018;12;3;0;48;0;-37.719583;77.713283;12.;16;3.95;16.5;;;;;;;;3743175S;07742797E;;0;;;
BAR06;2018;12;3;1;3;0;-37.740717;77.678317;14.;27;3.95;16.5;;;;;;;;3744443S;07740699E;;0;;;
BAR06;2018;12;3;1;19;0;-37.766133;77.650667;13.;31;3.95;15.5;;;;;;;;3745968S;07739040E;;0;;;
