Logger ID;Year;Month;Day;Hour;Minute;Second;Latitude;Longitude;Speed;Searching time;Voltage;Temperature;Altitude;Div up;Div down;No GPS - timeout;No GPS - diving;In range;Diving duration;Raw latitude;Raw Longitude;Decision voltage;Milisecond;Acc_X;Acc_Y;Acc_Z
HAR06;2018;12;1;12;5;0;-37.854367;77.523983;0.2;123;3.78;19.5;;;;;;;;3751262S;07731439E;;0;;;
HAR06;2018;12;1;12;5;0;-37.854233;77.523933;0.1;5;3.78;19.5;;;;;;;;3751254S;07731436E;;0;;;
HAR06;2018;12;1;12;5;0;-37.854283;77.524117;0.1;7;3.78;19.5;;;;;;;;3751257S;07731447E;;0;;;
HAR06;2018;12;1;12;5;0;-37.854300;77.524083;0.1;7;3.78;19.5;;;;;;;;3751258S;07731445E;;0;;;
HAR06;2018;12;1;12;20;0;-37.854733;77.524133;3.3;20;3.77;20.5;;;;;;;;3751284S;07731448E;;0;;;
HAR06;2018;12;1;12;36;0;-37.855200;77.524283;0.3;19;3.77;20.5;;;;;;;;3751312S;07731457E;;0;;;
HAR06;2018;12;1;12;52;0;-37.854333;77.524083;0.6;41;3.77;20;;;;;;;;3751260S;07731445E;;0;;;
HAR06;2018;12;1;13;7;0;-37.854500;77.524067;0.8;13;3.77;20.5;;;;;;;;3751270S;07731444E;;0;;;
HAR06;2018;12;1;13;22;0;-37.854100;77.523983;8.7;12;3.77;22;;;;;;;;3751246S;07731439E;;0;;;
HAR06;2018;12;1;13;37;0;-37.854150;77.524150;0.6;8;3.77;20;;;;;;;;3751249S;07731449E;;0;;;
HAR06;2018;12;1;13;53;0;-37.854333;77.524183;0.3;10;3.77;20;;;;;;;;3751260S;07731451E;;0;;;
HAR06;2018;12;1;14;8;0;-37.854050;77.524217;0.8;11;3.77;20.5;;;;;;;;3751243S;07731453E;;0;;;
HAR06;2018;12;1;14;23;0;-37.854467;77.524100;0.7;11;3.77;20;;;;;;;;3751268S;07731446E;;0;;;
HAR06;2018;12;1;14;39;0;-37.855100;77.524167;0.3;68;3.77;19.5;;;;;;;;3751306S;07731450E;;0;;;
HAR06;2018;12;1;14;55;0;-37.854483;77.524067;4.0;10;3.77;19;;;;;;;;3751269S;07731444E;;0;;;
HAR06;2018;12;1;15;10;0;-37.854450;77.524067;0.4;18;3.76;18.5;;;;;;;;3751267S;07731444E;;0;;;
HAR06;2018;12;1;15;25;0;-37.854250;77.524150;0.5;16;3.76;18;;;;;;;;3751255S;07731449E;;0;;;
HAR06;2018;12;1;15;41;0;-37.854300;77.524100;0.4;21;3.76;17.5;;;;;;;;3751258S;07731446E;;0;;;
HAR06;2018;12;1;15;56;0;-37.854300;77.524083;0.5;20;3.76;18;;;;;;;;3751258S;07731445E;;0;;;
HAR06;2018;12;1;16;12;0;-37.854467;77.524083;0.5;37;3.76;18;;;;;;;;3751268S;07731445E;;0;;;
HAR06;2018;12;1;16;27;0;-37.854417;77.524200;1.2;13;3.76;17.5;;;;;;;;3751265S;07731452E;;0;;;
HAR06;2018;12;1;16;43;0;-37.854350;77.523900;0.3;35;3.76;17.5;;;;;;;;3751261S;07731434E;;0;;;
HAR06;2018;12;1;16;58;0;-37.854283;77.524017;0.8;6;3.76;17.5;;;;;;;;3751257S;07731441E;;0;;;
HAR06;2018;12;1;17;14;0;-37.854400;77.523900;0.3;14;3.76;17;;;;;;;;3751264S;07731434E;;0;;;
HAR06;2018;12;1;17;29;0;-37.854383;77.524233;0.7;12;3.76;18.5;;;;;;;;3751263S;07731454E;;0;;;
HAR06;2018;12;1;17;44;0;-37.854333;77.524150;1.2;12;3.76;19.5;;;;;;;;3751260S;07731449E;;0;;;
HAR06;2018;12;1;18;0;0;-37.854500;77.524050;0.1;41;3.76;19;;;;;;;;3751270S;07731443E;;0;;;
HAR06;2018;12;1;18;15;0;-37.854350;77.524067;0.6;13;3.76;19;;;;;;;;3751261S;07731444E;;0;;;
HAR06;2018;12;1;18;31;0;-37.854367;77.524067;0.7;13;3.75;19.5;;;;;;;;3751262S;07731444E;;0;;;
HAR06;2018;12;1;18;47;0;-37.854400;77.524033;0.3;51;3.75;20;;;;;;;;3751264S;07731442E;;0;;;
HAR06;2018;12;1;19;2;0;-37.854750;77.523983;0.5;21;3.75;19.5;;;;;;;;3751285S;07731439E;;0;;;
HAR06;2018;12;1;19;17;0;-37.854200;77.524083;0.1;25;3.75;19;;;;;;;;3751252S;07731445E;;0;;;
HAR06;2018;12;1;19;33;0;-37.854450;77.524017;0.3;25;3.75;18.5;;;;;;;;3751267S;07731441E;;0;;;
HAR06;2018;12;1;19;49;0;-37.854283;77.524100;0.3;28;3.75;18.5;;;;;;;;3751257S;07731446E;;0;;;
HAR06;2018;12;1;20;4;0;-37.854350;77.524083;0.2;40;3.75;18.5;;;;;;;;3751261S;07731445E;;0;;;
HAR06;2018;12;1;20;20;0;-37.854483;77.524017;0.3;22;3.75;17;;;;;;;;3751269S;07731441E;;0;;;
HAR06;2018;12;1;20;36;0;-37.854517;77.524050;1.5;95;3.75;16.5;;;;;;;;3751271S;07731443E;;0;;;
HAR06;2018;12;1;20;52;0;-37.854783;77.523967;2.0;16;3.75;17;;;;;;;;3751287S;07731438E;;0;;;
HAR06;2018;12;1;21;8;0;-37.854800;77.523900;1.7;39;3.75;17;;;;;;;;3751288S;07731434E;;0;;;
HAR06;2018;12;1;21;23;0;-37.854200;77.524150;0.7;13;3.75;17.5;;;;;;;;3751252S;07731449E;;0;;;
HAR06;2018;12;1;21;38;0;-37.854400;77.524000;0.2;18;3.75;16.5;;;;;;;;3751264S;07731440E;;0;;;
HAR06;2018;12;1;21;54;0;-37.854200;77.524133;0.8;32;3.75;17.5;;;;;;;;3751252S;07731448E;;0;;;
HAR06;2018;12;1;22;12;21;;;;;;;;;;1;;;;;;;0;;;
HAR06;2018;12;1;22;28;0;-37.854433;77.524017;0.1;52;3.74;17;;;;;;;;3751266S;07731441E;;0;;;
HAR06;2018;12;1;22;43;0;-37.854367;77.524033;0.2;22;3.74;16;;;;;;;;3751262S;07731442E;;0;;;
HAR06;2018;12;1;22;59;0;-37.854400;77.524083;1.5;33;3.74;17;;;;;;;;3751264S;07731445E;;0;;;
HAR06;2018;12;1;23;14;0;-37.854350;77.524117;0.3;15;3.73;17;;;;;;;;3751261S;07731447E;;0;;;
HAR06;2018;12;1;23;30;0;-37.854417;77.524100;0.0;25;3.73;16;;;;;;;;3751265S;07731446E;;0;;;
HAR06;2018;12;1;23;45;0;-37.850617;77.497367;23.;6;3.73;15;;;;;;;;3751037S;07729842E;;0;;;
HAR06;2018;12;2;0;3;0;-37.854133;77.524083;0.4;140;3.73;12.5;;;;;;;;3751248S;07731445E;;0;;;
HAR06;2018;12;2;0;18;0;-37.854417;77.524000;1.2;17;3.73;16;;;;;;;;3751265S;07731440E;;0;;;
HAR06;2018;12;2;0;33;0;-37.854300;77.524083;0.7;10;3.73;18;;;;;;;;3751258S;07731445E;;0;;;
HAR06;2018;12;2;0;48;0;-37.854367;77.524100;0.1;12;3.73;19;;;;;;;;3751262S;07731446E;;0;;;
HAR06;2018;12;2;1;4;0;-37.854300;77.524083;0.1;49;3.73;16.5;;;;;;;;3751258S;07731445E;;0;;;
HAR06;2018;12;2;1;20;0;-37.854350;77.524117;2.0;14;3.72;18.5;;;;;;;;3751261S;07731447E;;0;;;
HAR06;2018;12;2;1;35;0;-37.854267;77.524150;0.5;8;3.73;20;;;;;;;;3751256S;07731449E;;0;;;
HAR06;2018;12;2;1;50;0;-37.854033;77.524283;1.1;18;3.72;21.5;;;;;;;;3751242S;07731457E;;0;;;
HAR06;2018;12;2;2;6;0;-37.854533;77.524017;0.1;35;3.72;22.5;;;;;;;;3751272S;07731441E;;0;;;
HAR06;2018;12;2;2;22;0;-37.854683;77.523983;1.7;46;3.72;23.5;;;;;;;;3751281S;07731439E;;0;;;
HAR06;2018;12;2;2;37;0;-37.854600;77.524000;4.4;13;3.72;22;;;;;;;;3751276S;07731440E;;0;;;
HAR06;2018;12;2;2;55;40;;;;;;;;;;1;;;;;;;0;;;
HAR06;2018;12;2;3;5;33;;;;;;;;;;;;1;;;;3.71;0;;;
HAR06;2018;12;2;3;5;34;;;;;;;;;;;;1;;;;3.71;0;;;
HAR06;2018;12;2;3;10;29;;;;;;;;;;;;1;;;;3.71;0;;;
HAR06;2018;12;2;3;10;30;;;;;;;;;;;;1;;;;3.71;0;;;
HAR06;2018;12;2;3;10;37;;;;;;;;;;;;1;;;;3.71;0;;;
HAR06;2018;12;2;3;10;38;;;;;;;;;;;;1;;;;3.71;0;;;
HAR06;2018;12;2;3;10;39;;;;;;;;;;;;1;;;;3.71;0;;;
HAR06;2018;12;2;3;13;40;;;;;;;;;;1;;;;;;;0;;;
HAR06;2018;12;2;3;18;38;;;;;;;;;;;;1;;;;3.71;0;;;
HAR06;2018;12;2;3;18;39;;;;;;;;;;;;1;;;;3.71;0;;;
HAR06;2018;12;2;3;23;33;;;;;;;;;;;;1;;;;3.71;0;;;
HAR06;2018;12;2;3;23;34;;;;;;;;;;;;1;;;;3.71;0;;;
HAR06;2018;12;2;3;28;29;;;;;;;;;;;;1;;;;3.71;0;;;
HAR06;2018;12;2;3;28;30;;;;;;;;;;;;1;;;;3.71;0;;;
HAR06;2018;12;2;3;28;37;;;;;;;;;;;;1;;;;3.71;0;;;
HAR06;2018;12;2;3;28;38;;;;;;;;;;;;1;;;;3.71;0;;;
HAR06;2018;12;2;3;28;39;;;;;;;;;;;;1;;;;3.71;0;;;
HAR06;2018;12;2;3;30;0;-37.854317;77.524100;0.7;88;3.71;25;;;;;;;;3751259S;07731446E;;0;;;
HAR06;2018;12;2;3;35;25;;;;;;;;;;;;1;;;;3.71;0;;;
HAR06;2018;12;2;3;35;26;;;;;;;;;;;;1;;;;3.71;0;;;
